EC:2.7.1.41	GLUCOSE-1-PHOSPHATE-PHOSPHODISMUTASE-RXN
EC:1.14.11.19	1.14.11.19-RXN,RXN-602
EC:1.1.1.96	DIIODOPHENYLPYRUVATE-REDUCTASE-RXN
EC:3.1.2.22	3.1.2.22-RXN
EC:2.3.1.95	RXN-87
EC:1.2.7.5	1.2.7.5-RXN
EC:4.4.1.20	LEUKOTRIENE-C4-SYNTHASE-RXN
EC:1.3.1.19	1.3.1.19-RXN,TOLUENE-DIOL-DEHYDROGENASE-RXN
EC:1.1.1.251	1.1.1.251-RXN
EC:1.1.1.47	GLUCOSE-1-DEHYDROGENASE-RXN
EC:3.4.22.59	3.4.22.59-RXN
EC:1.14.13.2	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN
EC:4.1.3.25	CITRAMALYL-COA-LYASE-RXN
EC:2.4.1.60	ABEQUOSYLTRANSFERASE-RXN
EC:4.1.1.74	4.1.1.74-RXN
EC:3.1.3.56	3.1.3.56-RXN,RXN-8730
EC:3.2.1.175	RXN-11469
EC:2.7.1.48	URIDINEKIN-RXN,CYTIKIN-RXN,URKI-RXN,CYTIDINEKIN-RXN
EC:2.5.1.122	RXN-15419
EC:2.3.2.21	RXN-15418,RXN-14336
EC:2.7.1.69	RXN-15145,RXN-15143,RXN0-2522,RXN-15083,RXN-15084,RXN-15085,RXN-15086,RXN-15087,RXN-15163,RXN-15162,RXN-15161,RXN-15160,RXN-15167,RXN-15165,RXN-15169,RXN-15168,TRANS-RXN-161,TRANS-RXN-168,TRANS-RXN-169,RXN0-2461,TRANS-RXN-167A,RXN-15095,RXN-15093,TRANS-RXN0-540,RXN-15144,RXN-12634,RXN-15154,RXN-14982,RXN-14983,RXN-15334,RXN-15166,RXN-15096,RXN-15094,RXN-15092,RXN-15158,RXN-15159,RXN-15157,RXN-15155,RXN-15152,RXN-15150,RXN-15151,2.7.1.69-RXN,RXN-15174,RXN-15175,RXN-15176,RXN-15177,RXN-15170,RXN-15171,RXN-15173,RXN-15178,TRANS-RXN-155B,RXN-15172,SUCROSEPHOSPHO-RXN,TRANS-RXN-157,TRANS-RXN-156,RXN0-17,TRANS-RXN-153A,RXN-15181,RXN-15180,RXN-15182,RXN-15185,RXN-15184,RXN-15156,RXN-14729,RXN-15164
EC:1.1.3.9	GALACTOSE-OXIDASE-RXN
EC:3.1.4.17	3.1.4.17-RXN
EC:2.7.8.24	2.7.8.24-RXN
EC:1.10.3.15	RXN-15414,RXN-13868
EC:2.7.8.7	ENTDB-RXN,HOLO-ACP-SYNTH-RXN,RXN-15889,RXN-16759,RXN-10994
EC:1.1.1.258	6-HYDROXYHEXANOATE-OXIDATION-RXN
EC:1.8.5.2	1.8.5.2-RXN
EC:1.13.11.2	CATECHOL-2-3-DIOXYGENASE-RXN,CATECHOL-23-DIOXYGENASE-RXN,RXN-11219,RXN-11218,RXN-13704
EC:2.3.1.189	RXN1G-4
EC:4.2.1.53	OLEATE-HYDRATASE-RXN
EC:3.4.22.45	3.4.22.45-RXN
EC:2.1.1.60	2.1.1.60-RXN
EC:2.4.1.236	RXN-5004,RXN-5002,RXN-7759,RXN-9699,RXN-5001
EC:3.1.1.47	3.1.1.47-RXN
EC:3.4.21.116	3.4.21.116-RXN
EC:1.18.1.2	FLAVONADPREDUCT-RXN,1.18.1.2-RXN
EC:4.1.1.86	4.1.1.86-RXN
EC:2.1.1.10	MMUM-RXN
EC:1.14.13.125	RXN-1402
EC:4.99.1.6	RXN-1403
EC:1.4.3.4	RXN-1401,RXN-11067,RXN-9598,RXN-10778,RXN-5821,RXN-10908,RXN-10907,RXN6666-4,RXN-1,RXN-10910,RXN-10913,RXN-10817
EC:3.5.5.1	RXN-1404,3.5.5.1-RXN
EC:2.6.1.13	ORNITHINE-GLU-AMINOTRANSFORASE-RXN,ORNITHINE--OXO-ACID-AMINOTRANSFERASE-RXN
EC:3.5.4.1	CYTDEAM-RXN,RXN-14129,RXN-14197
EC:1.1.1.72	GLYCEROL-DEHYDROGENASE-NADP+-RXN
EC:1.1.3.21	GLYCEROL-3-PHOSPHATE-OXIDASE-RXN
EC:4.2.1.148	RXN-8960
EC:3.2.1.67	GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN
EC:2.1.1.286	RXN-14549
EC:2.1.3.12	RXN-14546
EC:6.3.1.15	RXN-14547
EC:2.4.1.302	RXN-14544
EC:2.1.1.285	RXN-14545
EC:2.1.1.284	RXN-14543
EC:1.1.1.35	RXN-11245,RXN-12750,RXN-12570,RXN-16133,RXN-12705,RXN-14275,RXN-12490,RXN-10698,RXN-10702,RXN-10703,RXN-11662,RXN0-2044,OHACYL-COA-DEHYDROG-RXN
EC:3.1.1.81	RXN-10049,RXN-10048,RXN-10047,3.1.1.81-RXN,RXN-10050,RXN-10051,RXN-10052
EC:1.2.1.65	1.2.1.65-RXN
EC:3.5.1.97	RXN-10046,RXN-10045,RXN-10042,RXN-10041,RXN-10044,RXN-10043,3.5.1.97-RXN
EC:1.14.15.6	1.14.15.6-RXN,RXN66-338,RXN66-339,RXN-7875
EC:1.14.13.127	RXN-10040,MHPHYDROXY-RXN
EC:5.3.4.1	5.3.4.1-RXN,DISULISOM-RXN
EC:2.7.1.30	GLYCEROL-KIN-RXN
EC:3.4.22.30	3.4.22.30-RXN
EC:4.5.1.1	DDT-DEHYDROCHLORINASE-RXN
EC:3.6.1.15	NUCLEOSIDE-TRIPHOSPHATASE-RXN,RXN-12196,RXN-12195,ATPASE-RXN,RXN0-5462
EC:3.4.21.41	3.4.21.41-RXN
EC:1.14.99.9	STEROID-17-ALPHA-MONOOXYGENASE-RXN,RXN66-340,RXN66-355
EC:3.6.1.19	DUTP-PYROP-RXN,RXN0-5107,3.6.1.19-RXN,RXN-14140,RXN0-383,RXN0-384,RXN0-385,DCTP-PYROPHOSPHATASE-RXN,RXN-14139,RXN0-6382
EC:3.6.1.23	DUTP-PYROP-RXN
EC:1.5.5.1	RXN66-550,1.5.5.1-RXN
EC:1.1.1.306	1.2.1.66-RXN
EC:4.2.2.10	4.2.2.10-RXN,RXN-14897
EC:4.2.1.42	GALACTARDEHYDRA-RXN
EC:1.14.16.1	RXN66-569,RXN-14206,RXN-13907,PHENYLALANINE-4-MONOOXYGENASE-RXN
EC:2.6.1.45	SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN,SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN
EC:3.2.1.94	3.2.1.94-RXN
EC:3.5.1.93	3.5.1.93-RXN
EC:3.6.1.31	HISTPRATPHYD-RXN
EC:3.6.3.19	3.6.3.19-RXN,ABC-16-RXN
EC:2.3.2.2	RXN66-336,RXN-6601,GAMMA-GLUTAMYLTRANSFERASE-RXN,RXN-9157
EC:3.4.13.19	RXN66-337,3.4.13.19-RXN,RXN-15682
EC:5.3.99.6	ALLENE-OXIDE-CYCLASE-RXN
EC:2.7.8.5	PHOSPHAGLYPSYN-RXN
EC:3.4.23.43	3.4.23.43-RXN
EC:2.6.1.37	2.6.1.37-RXN
EC:2.4.99.8	2.4.99.8-RXN
EC:1.16.1.1	MERCURY-II-REDUCTASE-RXN
EC:4.4.1.14	4.4.1.14-RXN
EC:6.2.1.12	4-COUMARATE--COA-LIGASE-RXN,RXN-1126,RXN-1122,RXN-10919
EC:6.3.5.1	NAD-SYNTH-GLN-RXN
EC:3.6.3.5	RXN0-5205
EC:3.4.11.23	RXN0-5204
EC:3.2.1.11	3.2.1.11-RXN
EC:1.13.11.24	QUERCETIN-23-DIOXYGENASE-RXN
EC:2.3.1.128	2.3.1.128-RXN
EC:2.7.8.20	PGLYCEROLTRANSI-RXN
EC:2.1.3.3	RXN-13482,ORNCARBAMTRANSFER-RXN
EC:3.6.1.56	RXN0-6957
EC:2.1.1.264	RXN0-6950
EC:5.4.3.10	RXN-13484
EC:3.4.23.28	3.4.23.28-RXN
EC:1.2.1.64	HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN
EC:4.1.2.29	4.1.2.29-RXN
EC:3.6.3.41	TRANS-RXN0-162,3.6.3.41-RXN
EC:1.6.5.2	NQOR-RXN,RXN-12303
EC:1.1.1.101	ACYLGLYCERONE-PHOSPHATE-REDUCTASE-RXN,RXN-15046
EC:3.4.17.6	ALANINE-CARBOXYPEPTIDASE-RXN
EC:4.2.3.88	RXN-12823
EC:4.2.3.93	RXN-12822
EC:3.6.1.61	RXN-12820,RXN-10966,RXN-12819
EC:1.20.1.1	1.20.1.1-RXN
EC:3.6.1.59	RXN-12826
EC:3.4.19.14	RXN-12825
EC:4.2.3.90	RXN-12824
EC:1.3.1.43	CYCLOHEXADIENYL-DEHYDROGENASE-RXN
EC:1.13.12.19	RXN-12538
EC:4.2.3.91	RXN-12829
EC:3.2.1.68	RXN-12280,RXN-14380,3.2.1.68-RXN,RXN-4301
EC:4.2.3.51	RXN-8584
EC:2.7.1.119	HYGROMYCIN-B-KINASE-RXN
EC:3.1.1.23	RXN-15089,RXN-15088,3.1.1.23-RXN
EC:4.2.3.92	RXN-8588
EC:1.14.13.183	RXN-14975
EC:1.1.3.16	ECDYSONE-OXIDASE-RXN
EC:1.3.5.1	RXN-14971,SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN,RXN-15378
EC:1.3.5.4	RXN-14970,RXN-14963,R601-RXN
EC:1.14.12.13	RXN-13706,2-CHLOROBENZOATE-12-DIOXYGENASE-RXN,RXN-10443,RXN-10442,RXN-10444
EC:1.4.1.13	GLUTAMATESYN-RXN
EC:1.14.13.184	RXN-14978
EC:1.14.19.m	RXN-12755,RXN-16040
EC:5.4.4.5	RXN-12757
EC:1.13.11.60	RXN-12756
EC:4.4.1.19	4.4.1.19-RXN
EC:4.1.3.36	NAPHTHOATE-SYN-RXN
EC:5.1.99.6	RXN-12752,RXN-13142
EC:1.13.11.61	RXN-12759,RXN-12760
EC:5.4.4.6	RXN-12758
EC:3.4.21.119	3.4.21.119-RXN
EC:1.14.21.3	1.1.3.34-RXN
EC:1.3.2.3	GALACTONOLACTONE-DEHYDROGENASE-RXN,RXN-13183
EC:4.2.1.5	ARABINONATE-DEHYDRATASE-RXN
EC:2.3.1.32	LYSINE-N-ACETYLTRANSFERASE-RXN
EC:1.1.99.1	CHD-RXN
EC:2.4.1.1	RXN-14285,RXN-14284,RXN-14286,RXN-14353,RXN-9025,RXN0-5182,RXN0-5184,GLYCOPHOSPHORYL-RXN,RXN-12171,GLYMALTOPHOSPHORYL-RXN,RXN-1826,RXN-12392
EC:2.1.1.295	RXN-2762,RXN-2542,RXN-14917
EC:1.2.1.3	RXN-14280,ALDHDEHYDROG-RXN,RXN-9758,RXN-14225,RXN-14224,RXN-10089,R222-RXN,RXN-37,RXN66-3,RXN-15819,RXN-15855,RXN6666-5,RXN-3443,RXN-10780,RXN-4142,RXN-10912,RXN-10917,RXN-10715,RXN66-479,RXN66-472,RXN66-476,RXN-16654,RXN-16655,RXN-16656,RXN-16653,RXN-15822
EC:3.2.1.20	RXN-14283,RXN-14282,RXN-14350,RXN-15910,RXN0-5183,RXN-14349,MALTODEXGLUCOSID-RXN,RXN-14281,RXN-2141
EC:2.5.1.62	RXN1F-66
EC:2.3.2.h	RXN-15556
EC:3.1.2.27	RXN-14289,3.1.2.27-RXN
EC:2.3.1.15	RXN-16024,RXN-16117,RXN-10462,RXN-13805,RXN-1381,RXN-15045
EC:1.14.15.9	RXN-10670,RXN-10671,RXN-11653,RXN-11652
EC:2.4.1.276	RXN-10672,RXN-10673,RXN-12230
EC:4.2.1.9	DIHYDROXYMETVALDEHYDRAT-RXN,DIHYDROXYISOVALDEHYDRAT-RXN
EC:2.8.2.14	RXN-8729,BILE-SALT-SULFOTRANSFERASE-RXN
EC:2.8.1.7	RXN-15881,RXN-14384,RXN-14385,RXN-14386,RXN-12587,RXN-9787,RXN-12588,RXN0-308
EC:3.1.27.4	3.1.27.4-RXN
EC:3.4.14.2	3.4.14.2-RXN
EC:4.2.3.121	RXN-8563
EC:3.4.17.19	3.4.17.19-RXN
EC:1.1.1.2	RXN-14023,RXN-12484,ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN,RXN-10717
EC:2.5.1.115	RXN-2541
EC:3.1.3.5	RXN-14025,RXN-14026,RXN-7607,RXN-7609,AMP-DEPHOSPHORYLATION-RXN,5-NUCLEOTID-RXN,RXN-14227,RXN-5841,XMPXAN-RXN
EC:3.6.1.5	RXN-14024,RXN-12200,RXN-14205,RXN-14201,RXN-14200,RXN-10862,RXN-14208,RXN-12199,APYRASE-RXN,RXN-14199,RXN-14198,RXN-14195
EC:3.1.3.91	RXN-14026,RXN-14704
EC:3.4.24.46	3.4.24.46-RXN
EC:4.1.3.3	ACNEULY-RXN,RXN-15313
EC:3.5.1.4	RXNN-404,AMIDASE-RXN,R311-RXN,RXN-14728,RXN-14727,GUANIDINOBUTANAMIDE-NH3-RXN
EC:2.7.8.27	2.7.8.27-RXN,RXN-15211
EC:3.5.1.28	RXN-14267,RXN0-5225,3.4.24.32-RXN
EC:4.2.1.145	RXN-14636
EC:1.1.1.202	13-PROPANEDIOL-DEHYDROGENASE-RXN
EC:2.1.1.55	TRNA-ADENINE-N6--METHYLTRANSFERASE-RXN
EC:2.8.3.6	3-OXOADIPATE-COA-TRANSFERASE-RXN,RXN-10085
EC:3.4.22.40	3.4.22.40-RXN
EC:2.6.1.82	2.6.1.82-RXN,RXN-6423
EC:3.2.1.152	3.2.1.152-RXN
EC:3.4.21.71	3.4.21.71-RXN
EC:1.1.1.166	1.1.1.166-RXN
EC:1.14.19.x	RXN-8346,RXN-8350
EC:3.2.1.119	VICIANIN-BETA-GLUCOSIDASE-RXN,RXN-13610
EC:1.14.19.u	RXN-8347,RXN-11680
EC:2.3.1.207	RXN-13613
EC:1.2.1.83	RXN-16530,RXN-13089
EC:2.3.1.35	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
EC:3.4.21.34	3.4.21.34-RXN
EC:3.4.24.61	3.4.24.61-RXN
EC:2.8.4.1	METHYL-COM-HTP-RXN
EC:2.4.1.216	2.4.1.216-RXN
EC:2.3.1.170	RXN-3142
EC:2.7.4.29	RXN-16281,RXN0-5383
EC:2.7.8.o	RXN-16286,RXN0-4581
EC:1.1.1.385	RXN-16285
EC:3.5.3.23	SUCCARGDIHYDRO-RXN
EC:5.5.1.6	RXN-7647,RXN-3221,APIGNAR-RXN,CHALCONE-ISOMERASE-RXN
EC:1.1.1.14	RXN-7644,L-IDITOL-2-DEHYDROGENASE-RXN
EC:1.14.11.9	RXN-7648,NARINGENIN-3-DIOXYGENASE-RXN,1.14.11.9-RXN,RXN-7775,RXN-14981
EC:3.6.1.13	RXN0-1441
EC:3.6.1.53	RXN0-1441,RXN-9614
EC:3.4.17.12	3.4.17.12-RXN
EC:6.3.5.10	R345-RXN
EC:4.4.1.1	LCYSDESULF-RXN,RXN-15130,HOMOSERDEAM-RXN,CYSTHIOCYS-RXN
EC:4.4.1.28	LCYSDESULF-RXN
EC:3.4.22.56	3.4.22.56-RXN
EC:3.4.24.75	3.4.24.75-RXN
EC:3.3.2.2	3.3.2.2-RXN
EC:1.1.1.62	ESTRADIOL-17-BETA-DEHYDROGENASE-RXN
EC:1.11.1.5	CYTOCHROME-C-PEROXIDASE-RXN
EC:6.3.2.10	UDP-NACMURALGLDAPAALIG-RXN,6.3.2.10-RXN
EC:1.5.3.10	DIMETHYLGLYCINE-OXIDASE-RXN
EC:3.4.14.5	3.4.14.5-RXN
EC:1.4.99.5	1.4.99.5-RXN
EC:1.3.8.8	RXN-14131,LONG-CHAIN-ACYL-COA-DEHYDROGENASE-RXN
EC:2.3.1.118	2.3.1.118-RXN
EC:2.7.11.19	2.7.11.19-RXN
EC:3.2.1.113	3.2.1.113-RXN
EC:2.3.1.24	SPHINGOSINE-N-ACYLTRANSFERASE-RXN,RXN3O-328
EC:3.4.24.65	3.4.24.65-RXN
EC:2.4.1.94	2.4.1.94-RXN
EC:2.4.1.202	RXN-7022,RXN-7021
EC:1.14.15.12	RXN-13834
EC:1.7.5.1	RXN0-7124,RXN-11236,RXN0-3501
EC:3.4.21.109	3.4.21.109-RXN
EC:4.4.1.4	RXN-8916,RXN-8898,RXN-16174,RXN-16176,RXN-12632,RXN-8909,ALLIIN-LYASE-RXN,RXN-11524
EC:2.1.1.42	RXN-8262,RXN-12616,RXN-12617
EC:1.12.98.4	RXN-8269,H2SOXIREDPYRO-RXN
EC:2.7.1.15	RIBOKIN-RXN,RXN-14223
EC:6.3.4.14	BIOTIN-CARBOXYL-RXN
EC:3.9.1.2	RXN8J2-139
EC:3.1.3.92	RXN8J2-138
EC:1.8.1.4	1.8.1.4-RXN,RXN0-1132,RXN-7719,RXN-8629,RXN-7716
EC:2.6.1.104	RXN8J2-137
EC:1.1.1.361	RXN8J2-136
EC:2.2.1.7	DXS-RXN
EC:2.7.7.27	GLUC1PADENYLTRANS-RXN
EC:1.13.11.16	1.13.11.16-RXN,RXN-12073
EC:2.1.1.112	GLUCURONOXYLAN-4-O-METHYLTRANSFERASE-RXN
EC:1.3.1.71	1.3.1.71-RXN
EC:5.1.3.8	R381-RXN,N-ACYLGLUCOSAMINE-2-EPIMERASE-RXN,RXN-16006
EC:1.14.14.3	ALKANAL-MONOOXYGENASE-FMN-LINKED-RXN
EC:1.1.98.3	RXN-11080
EC:1.1.1.333	RXN-11081
EC:4.1.1.68	CARBOXY-OXOHEPT-ENEDIOATE-DECARBOXY-RXN,4.1.1.68-RXN
EC:1.5.98.1	1.5.99.9-RXN
EC:1.13.11.55	1.13.11.55-RXN
EC:1.14.13.10	1.14.13.10-RXN
EC:1.5.1.3	DIHYDROFOLATEREDUCT-RXN
EC:4.2.1.84	NITRILE-HYDRATASE-RXN,R310-RXN,R313-RXN,RXN-14726,RXN-14725,RXN-7567
EC:1.14.13.76	1.14.13.76-RXN
EC:5.3.99.4	PROSTAGLANDIN-I-SYNTHASE-RXN
EC:2.3.1.13	GLYCINE-N-ACYLTRANSFERASE-RXN,RXN-15658,RXN-15657
EC:2.5.1.86	RXN-11023
EC:2.5.1.113	RXN-14566
EC:2.4.1.307	RXN-14561
EC:2.4.1.309	RXN-14563
EC:2.1.1.165	RXN-11268,RXN-11241,RXN-11267
EC:2.7.7.87	RXN-14569
EC:2.3.1.184	RXN-10025,RXN-10024,RXN-10026,RXN-10020,RXN-10023,RXN-10022,2.3.1.184-RXN
EC:1.5.1.47	RXN-10029
EC:3.5.1.31	FORMYLMETHIONINE-DEFORMYLASE-RXN
EC:3.2.1.55	3.2.1.55-RXN
EC:3.5.4.13	DCTP-DEAM-RXN,RXN-14118
EC:4.2.1.140	GALACTONDEHYDRAT-RXN,GLUCONATE-DEHYDRATASE-RXN
EC:4.2.1.6	GALACTONDEHYDRAT-RXN
EC:1.1.5.4	MALATE-DEHYDROGENASE-ACCEPTOR-RXN,RXNI-3
EC:2.4.1.73	2.4.1.73-RXN,RXN0-5125
EC:1.1.99.28	1.1.99.28-RXN
EC:2.4.1.228	2.4.1.228-RXN
EC:4.99.1.2	ALKYLMERCURY-LYASE-RXN,R581-RXN
EC:1.14.18.d	RXN3O-4042
EC:4.2.1.43	4.2.1.43-RXN
EC:5.4.2.2	RXN66-532,PHOSPHOGLUCMUT-RXN
EC:5.4.2.5	RXN66-532,PHOSPHOGLUCMUT-RXN
EC:4.1.1.36	P-PANTOCYSDECARB-RXN
EC:3.5.2.14	3.5.2.14-RXN
EC:3.4.17.3	LYSINEARGININE-CARBOXYPEPTIDASE-RXN
EC:3.4.24.3	3.4.24.3-RXN
EC:1.5.4.1	1.5.4.1-RXN
EC:4.1.1.87	RXN-9730
EC:3.1.1.92	RXN-9733
EC:1.1.1.144	PERILLYL-ALCOHOL-DEHYDROGENASE-RXN,RXN-15824
EC:2.1.1.269	RXN-9736
EC:6.2.1.36	RXN-9086
EC:1.3.1.84	RXN-9087
EC:3.4.24.64	3.4.24.64-RXN
EC:1.11.1.17	RXN-6701
EC:1.8.1.16	RXN-6702
EC:2.3.1.51	RXN-16076,RXN-16077,RXN-16032,RXN-16118,RXN-15043,RXN0-6705,RXN-16067,RXN-16066,RXN-16025,RXN0-5514,RXN-1623,1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
EC:2.3.1.14	GLUTAMINE-N-PHENYLACETYLTRANSFERASE-RXN
EC:1.14.13.157	RXN-13133
EC:1.14.13.156	RXN-13136
EC:3.2.1.182	RXN-13137,RXN-7082
EC:1.13.11.68	RXN-13642
EC:1.13.11.69	RXN-13643
EC:1.18.1.5	RXN-13138
EC:4.2.1.93	RXN-13139,4.2.1.93-RXN
EC:2.7.7.84	RXN-13648
EC:5.4.3.11	RXN-13649
EC:1.1.1.1	RXN-10781,RXN-5424,METHANOL-DEHYDROGENASE-RXN,RXN-15818,RXN3O-4113,RXN-12448,ALCOHOL-DEHYDROG-GENERIC-RXN,RXN-7694,RXN-7693,RXN-7657,ALCOHOL-DEHYDROG-RXN,RXN-7700,RXN-7706,RXN-10911,RXN-10915,RXN66-478,RXN-15823,RXN-13198
EC:3.1.2.14	RXN-9555,RXN-9550,RXN-9551,RXN-13011,3.1.2.14-RXN,RXN-7902,RXN-9549,RXN-12973,RXN-9548,RXN-10727
EC:1.8.1.2	SULFITE-REDUCT-RXN
EC:1.1.1.135	GDP-6-DEOXY-D-TALOSE-4-DEHYDROGENASE-RXN
EC:1.1.1.187	GDP-6-DEOXY-D-TALOSE-4-DEHYDROGENASE-RXN,GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN
EC:3.4.17.13	RXN0-5227,RXN-16664,3.4.17.13-RXN
EC:3.2.1.52	RXN0-5226,3.2.1.52-RXN,RXN-12625,RXN-12626
EC:4.2.1.1	RXN0-5224,CARBODEHYDRAT-RXN
EC:5.1.1.20	RXN0-5228
EC:4.6.1.16	3.1.27.9-RXN
EC:3.4.21.89	3.4.21.89-RXN
EC:2.1.1.205	RXN-11868,RXN-11866
EC:2.1.1.206	RXN-11869
EC:2.1.1.207	RXN-11860,RXN-11865
EC:2.1.1.200	RXN-11866,RXN-11867
EC:1.13.11.40	ARACHIDONATE-8-LIPOXYGENASE-RXN
EC:1.3.99.6	3-OXO-5-BETA-STEROID-4-DEHYDROGENASE-RXN
EC:2.7.7.10	UTPHEXPURIDYLYLTRANS-RXN
EC:2.7.7.64	UTPHEXPURIDYLYLTRANS-RXN,2.7.7.64-RXN,GLUC1PURIDYLTRANS-RXN
EC:3.1.1.35	DIHYDROCOUMARIN-LIPASE-RXN
EC:1.2.1.27	1.2.1.27-RXN,RXN-11213
EC:1.5.99.6	SPERMIDINE-DEHYDROGENASE-RXN
EC:3.5.3.24	RXN-12515
EC:2.5.1.104	RXN-12514
EC:1.14.13.21	RXN-12510,RXN-7651,RXN-525,FLAVONOID-3-MONOOXYGENASE-RXN
EC:5.3.3.8	RXN-12519,RXN-7836,RXN-7931,ENOYL-COA-DELTA-ISOM-RXN
EC:1.14.13.33	1.14.13.33-RXN
EC:2.7.9.1	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
EC:2.8.2.2	ALCOHOL-SULFOTRANSFERASE-RXN
EC:3.1.7.2	RXN0-6427,PPGPPSYN-RXN
EC:1.14.17.3	PEPTIDYLGLYCINE-MONOOXYGENASE-RXN
EC:3.5.4.40	RXN-14910
EC:3.1.1.26	RXN-14912,GALACTOLIPASE-RXN
EC:1.1.3.6	RXN-12778,CHOLESTEROL-OXIDASE-RXN
EC:3.2.1.8	3.2.1.8-RXN
EC:2.1.1.235	RXN-12772
EC:4.2.1.138	RXN-12775
EC:4.2.3.89	RXN-12774
EC:4.2.3.6	TRICHODIENE-SYNTHASE-RXN
EC:4.1.3.41	3-HYDROXYASPARTATE-ALDOLASE-RXN,RXN-11768
EC:1.18.1.1	RUBREDOXIN--NAD+-REDUCTASE-RXN
EC:3.4.23.51	RXN0-3364
EC:2.4.1.44	2.4.1.44-RXN,RXN0-5124
EC:1.1.1.337	RXN-13927,R230-RXN
EC:4.6.1.14	3.1.4.47-RXN
EC:3.4.24.81	RXN-11699
EC:3.4.24.84	RXN-11698
EC:4.4.1.24	RXN-11691
EC:1.1.1.338	RXN-11690
EC:3.4.22.49	RXN-11693
EC:3.4.24.79	RXN-11692,RXN-11688
EC:3.4.24.12	3.4.24.12-RXN
EC:3.4.24.85	RXN-11694
EC:1.1.1.13	1.1.1.13-RXN
EC:1.3.1.74	RXN-11696
EC:3.1.6.13	RXN-11569,3.1.6.13-RXN,RXN-16483
EC:2.4.1.19	2.4.1.19-RXN,RXN-12181
EC:1.14.13.185	RXN-15100,RXN-15110,RXN-15099,RXN-15106,RXN-15101,RXN-15107,RXN-15109,RXN-15108
EC:1.13.12.9	PHENYLALANINE-2-MONOOXYGENASE-RXN
EC:2.3.1.107	2.3.1.107-RXN
EC:5.4.3.4	D-LYSINE-56-AMINOMUTASE-RXN
EC:1.1.1.91	ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN,RXN0-5141
EC:2.1.1.291	RXN-8700,RXN-8701
EC:2.4.1.255	RXN-15205,RXN-11889,RXN-11890
EC:2.4.1.217	2.4.1.217-RXN
EC:2.3.1.178	R102-RXN
EC:2.1.1.62	2.1.1.62-RXN
EC:4.1.3.32	23-DIMETHYLMALATE-LYASE-RXN
EC:4.2.3.23	RXN-11527
EC:3.6.1.64	RXN-14004,RXN-14003
EC:1.17.5.2	RXN-11523
EC:1.2.1.60	CHMS-DEHYDROGENASE-RXN
EC:1.1.1.156	GLYCEROL-2-DEHYDROGENASE-NADP+-RXN
EC:2.3.1.9	METHYLACETOACETYLCOATHIOL-RXN,ACETYL-COA-ACETYLTRANSFER-RXN,RXN-12561
EC:1.14.12.19	HCAMULTI-RXN,RXN-12072
EC:1.14.11.15	RXN1F-170
EC:2.7.1.51	FUCULOKIN-RXN
EC:3.4.24.33	3.4.24.33-RXN
EC:3.1.13.1	3.1.13.1-RXN,RXN0-4222,RXN0-6479,RXN0-6525,RXN0-6524
EC:1.5.1.43	RXN-11566,RXN-11565
EC:4.2.1.112	R141-RXN
EC:1.7.2.6	HAONITRO-RXN,RXN-13570
EC:6.4.1.5	GERANOYL-COA-CARBOXYLASE-RXN
EC:4.4.1.11	METHIONINE-GAMMA-LYASE-RXN
EC:2.7.1.60	NANK-RXN,N-ACYLMANNOSAMINE-KINASE-RXN
EC:2.7.1.59	N-ACETYLGLUCOSAMINE-KINASE-RXN
EC:3.2.1.180	RXN-16512,RXN-12177,RXN-14021,RXN-16485
EC:3.4.11.5	3.4.11.5-RXN
EC:1.1.1.189	PROSTAGLANDIN-E2-9-REDUCTASE-RXN
EC:1.3.7.e	RXN-16518,RXN-14399
EC:3.4.21.100	3.4.21.100-RXN
EC:1.16.1.3	AQUACOBALAMIN-REDUCTASE-RXN
EC:4.2.3.12	4.2.3.12-RXN
EC:3.6.1.1	INORGPYROPHOSPHAT-RXN
EC:3.2.1.128	GLYCYRRHIZINATE-BETA-GLUCURONIDASE-RXN
EC:4.2.1.129	RXN-4961
EC:5.1.1.11	5.1.1.11-RXN
EC:2.4.2.26	2.4.2.26-RXN
EC:3.5.1.23	RXN-13733,CERAMIDASE-RXN,RXN-11375,CERAMIDASE-YEAST-RXN
EC:6.3.4.6	UREA-CARBOXYLASE-RXN
EC:1.5.3.13	RXN-9940,RXN-12091,RXN-10460
EC:3.2.1.147	RXN-9946,RXN-12024,RXN-8134,RXN-11183,RXN-11182
EC:1.8.7.2	RXN-9944
EC:3.4.21.79	3.4.21.79-RXN
EC:3.5.99.8	RXN-11730
EC:4.1.2.50	RXN0-5507
EC:3.4.24.20	3.4.24.20-RXN
EC:1.21.3.1	1.21.3.1-RXN
EC:3.4.24.27	3.4.24.27-RXN
